id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
5704,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:41.22,866900000,12,15,901,4/5,125000,111119,AgQm
5705,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:41.39,866900000,12,15,901,4/5,125000,111112,1eX2
5706,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:04:41.787,866900000,12,15,1032,4/5,125000,111113,LWQC
5707,"",[],34509,t,f,t,2020-04-15 00:04:41.953,866900000,12,15,901,4/5,125000,111119,Z9Sf
5708,"",[],34509,t,f,t,2020-04-15 00:04:42.287,866900000,12,15,901,4/5,125000,111116,TW88
5709,"",[],34378,t,f,t,2020-04-15 00:04:42.463,866900000,12,14,1032,4/5,125000,111111,dq2F
5710,"",[],34378,t,f,t,2020-04-15 00:04:42.878,866900000,12,15,1032,4/5,125000,111113,1eX2
5711,"",[],34509,t,f,t,2020-04-15 00:04:53.08,866900000,12,15,901,4/5,125000,111112,E0HZ
5712,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:54.655,866900000,12,15,901,4/5,125000,111117,n3If
5713,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:04.09,866900000,12,15,901,4/5,125000,111111,n3If
5714,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:04.838,866900000,12,14,901,4/5,125000,111118,11YF
5715,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:06.748,866900000,12,14,1032,4/5,125000,111117,4oMp
5716,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:06.816,866900000,12,15,1032,4/5,125000,111116,0Zw0
5717,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:06.839,866900000,12,14,1032,4/5,125000,111118,SYnK
5718,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:06.862,866900000,12,15,1032,4/5,125000,111113,Z9Sf
5719,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:06.887,866900000,12,15,901,4/5,125000,111119,n3If
5720,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:15.951,866900000,12,15,901,4/5,125000,111118,lKpj
5721,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:16.004,866900000,12,15,901,4/5,125000,111117,LWQC
5722,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:16.396,866900000,12,14,901,4/5,125000,111116,SYnK
5723,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:17.815,866900000,12,15,1032,4/5,125000,111118,tkPr
5724,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:27.583,866900000,12,15,901,4/5,125000,111118,iHf2
5725,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:28.709,866900000,12,15,1032,4/5,125000,111114,Zs43
5726,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:29.872,866900000,12,15,901,4/5,125000,111115,Zs43
5727,"",[],34509,t,f,t,2020-04-15 00:05:29.904,866900000,12,15,901,4/5,125000,111117,404J
5728,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:29.946,866900000,12,15,1032,4/5,125000,111120,WX6Z
5729,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:29.979,866900000,12,15,901,4/5,125000,111116,iHf2
5730,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:39.833,866900000,12,15,901,4/5,125000,111118,XyOB
5731,"",[],34509,t,f,t,2020-04-15 00:05:41.173,866900000,12,14,901,4/5,125000,111118,5jcg
