id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
136,NTcsMTAw,9.85,-63,35960,t,2020-05-03 20:53:04.152,1,866100000,7,6,40,4/5,125000,0,1,111113,tMrs
137,NzgsMTAw,10.82,-56.5,35767,t,2020-05-03 20:53:04.563,1,866100000,10,15,233,4/5,125000,0,1,111112,urCI
138,MTAwLDEwMA==,7,-59.1,35918,t,2020-05-03 20:53:09.039,1,866100000,8,5,82,4/5,125000,0,1,111114,j0Gh
139,NTksMTAw,7.89,-112.8,35960,t,2020-05-03 20:53:09.164,1,866100000,7,7,40,4/5,125000,0,1,111113,IPGt
140,NjcsMTAw,7.7,-63.4,35505,t,2020-05-03 20:53:10.148,1,866100000,11,15,495,4/5,125000,0,1,111112,8tai
141,NjUsMTAw,7.65,-106.2,35929,t,2020-05-03 20:53:14.046,1,866100000,8,5,71,4/5,125000,0,1,111114,muIF
142,OTgsMTAw,7.86,-108.2,35960,t,2020-05-03 20:53:14.738,1,866100000,7,7,40,4/5,125000,0,1,111113,w0sE
143,ODMsMTAw,9.12,-101.1,35767,t,2020-05-03 20:53:15.722,1,866100000,10,15,233,4/5,125000,0,1,111112,ppam
144,MTM2LDEwMA==,11.62,-93.8,35918,t,2020-05-03 20:53:19.621,1,866100000,8,5,82,4/5,125000,0,1,111114,y7K4
145,NTMsMTAw,7.04,-73.4,35099,t,2020-05-03 20:53:20.231,1,866900000,12,15,901,4/5,125000,0,2,111112,hGIv
146,MTIwLDEwMA==,9.61,-93.7,35954,t,2020-05-03 20:53:20.31,1,866100000,7,7,46,4/5,125000,0,1,111113,abd8
147,NzMsMTAw,9.83,-103.4,35929,t,2020-05-03 20:53:24.988,1,866100000,8,5,71,4/5,125000,0,1,111114,tztI
148,NzgsMTAw,8.23,-37.8,35767,t,2020-05-03 20:53:25.937,1,866100000,10,15,233,4/5,125000,0,1,111112,zTBG
149,NzQsMTAw,8.42,-52.4,35929,t,2020-05-03 20:53:26.697,1,866100000,8,5,71,4/5,125000,0,1,111113,4jgr
150,NTAsMTAw,10.7,-38.3,35099,t,2020-05-03 20:53:30.275,1,866900000,12,15,901,4/5,125000,0,2,111113,Q22J
151,ODgsMTAw,7.1,-88.2,35960,t,2020-05-03 20:53:31.215,1,866100000,7,6,40,4/5,125000,0,1,111114,8utX
152,NjAsMTAw,7.8,-66.8,35960,t,2020-05-03 20:53:36.202,1,866100000,7,6,40,4/5,125000,0,1,111113,4hbZ
153,MTAwLDEwMA==,8.4,-111.7,35954,t,2020-05-03 20:53:36.383,1,866100000,7,6,46,4/5,125000,0,1,111114,Krsx
154,MTEyLDEwMA==,8.05,-113.6,35954,t,2020-05-03 20:53:41.016,1,866100000,7,6,46,4/5,125000,0,1,111113,heuj
155,MTUwLDEwMA==,11.04,-71.4,34968,t,2020-05-03 20:53:41.622,1,866900000,12,15,1032,4/5,125000,0,2,111114,24AZ
156,OTUsMTAw,9.41,-50.5,35767,t,2020-05-03 20:53:43.477,1,866100000,10,15,233,4/5,125000,0,1,111112,8Bbd
157,OTcsMTAw,7.48,-47.5,35960,t,2020-05-03 20:53:46.675,1,866100000,7,6,40,4/5,125000,0,1,111113,3bxT
158,NzQsMTAw,6.55,-42.6,35960,t,2020-05-03 20:53:47.203,1,866100000,7,6,40,4/5,125000,0,1,111114,EaIr
159,OTAsMTAw,10.55,-76.2,35767,t,2020-05-03 20:53:49.133,1,866100000,10,15,233,4/5,125000,0,1,111112,n5WB
160,ODAsMTAw,8.18,-91.9,35929,t,2020-05-03 20:53:51.674,1,866100000,8,5,71,4/5,125000,0,1,111113,Oqpb
161,MTM5LDEwMA==,6.78,-99.7,35918,t,2020-05-03 20:53:52.21,1,866100000,8,5,82,4/5,125000,0,1,111114,SqDh
162,NTEsMTAw,10.01,-65.3,33499,t,2020-05-03 20:53:52.894,2,866900000,12,15,901,4/5,125000,3,2,111111,OBzA
163,MTM4LDEwMA==,8.24,-108.1,35432,t,2020-05-03 20:53:54.703,1,866100000,11,15,568,4/5,125000,0,1,111112,EAjO
164,MTMzLDEwMA==,9.98,-112.5,35918,t,2020-05-03 20:53:56.718,1,866100000,8,5,82,4/5,125000,0,1,111113,infk
165,MTQyLDEwMA==,9.34,-86.5,35918,t,2020-05-03 20:53:57.216,1,866100000,8,5,82,4/5,125000,0,1,111114,4dfe
166,NjUsMTAw,8.76,-70.4,35767,t,2020-05-03 20:53:59.717,1,866100000,10,15,233,4/5,125000,0,1,111112,jqiW
167,NTUsMTAw,11.29,-57,35099,t,2020-05-03 20:54:01.78,1,866900000,12,15,901,4/5,125000,0,2,111114,8rID
168,OTAsMTAw,8.85,-67.5,35929,t,2020-05-03 20:54:02.296,1,866100000,8,5,71,4/5,125000,0,1,111113,Tfxu
169,NzAsMTAw,6.71,-98.8,35767,t,2020-05-03 20:54:05.296,1,866100000,10,15,233,4/5,125000,0,1,111112,83Dn
170,MTQ2LDEwMA==,7.6,-76.7,34968,t,2020-05-03 20:54:06.859,1,866900000,12,15,1032,4/5,125000,0,2,111114,e2CC
171,MTE1LDEwMA==,6.59,-109,35918,t,2020-05-03 20:54:07.304,1,866100000,8,5,82,4/5,125000,0,1,111113,bT1g
172,OTYsMTAw,10.72,-99.7,35920,t,2020-05-03 20:54:10.303,2,866100000,7,13,40,4/5,125000,2,1,111112,pjdQ
173,MTQxLDEwMA==,10.62,-51.1,35918,t,2020-05-03 20:54:12.875,1,866100000,8,5,82,4/5,125000,0,1,111113,jRrl
174,NTEsMTAw,8.27,-102.1,34198,t,2020-05-03 20:54:12.974,1,866900000,12,15,901,4/5,125000,3,2,111111,TOxm
