id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
160,NTgsMTAw,7.71,-90.2,35099,t,2020-04-14 20:57:57.271,1,866900000,12,15,901,4/5,125000,0,1,111111,J6Hs
161,NTIsMTAw,9.49,-100,35099,t,2020-04-14 20:57:57.619,1,866900000,12,15,901,4/5,125000,0,1,111113,XiaC
162,NTIsMTAw,7.65,-66.6,35099,t,2020-04-14 20:58:04.879,1,866900000,12,15,901,4/5,125000,1,1,111117,J6Hs
163,NTAsMTAw,9.24,-59.7,35099,t,2020-04-14 20:58:05.684,1,866900000,12,15,901,4/5,125000,1,1,111118,XiaC
164,NTgsMTAw,6.63,-79.8,35099,t,2020-04-14 20:58:07.08,1,866900000,12,15,901,4/5,125000,0,1,111117,hwfO
165,NTEsMTAw,8.91,-73.7,35099,t,2020-04-14 20:58:09.201,1,866900000,12,15,901,4/5,125000,0,1,111113,Kj3C
166,MTQ4LDEwMA==,9.96,-52.4,34968,t,2020-04-14 20:58:10.777,1,866900000,12,15,1032,4/5,125000,0,1,111117,xxt0
167,NTAsMTAw,9.17,-113.6,35099,t,2020-04-14 20:58:16.457,1,866900000,12,15,901,4/5,125000,0,1,111117,wFyV
168,MTQ2LDEwMA==,8.07,-40.4,34968,t,2020-04-14 20:58:17.575,1,866900000,12,15,1032,4/5,125000,0,1,111114,ZsxG
169,NTQsMTAw,10.7,-41.9,35099,t,2020-04-14 20:58:19.172,1,866900000,12,15,901,4/5,125000,1,1,111120,ZsxG
170,MTQ2LDEwMA==,8.89,-47.8,34968,t,2020-04-14 20:58:20.422,1,866900000,12,15,1032,4/5,125000,0,1,111111,IIQo
171,MTQ3LDEwMA==,10,-90.8,34968,t,2020-04-14 20:58:21.217,1,866900000,12,15,1032,4/5,125000,1,1,111112,IIQo
172,NTAsMTAw,8.13,-71.4,35099,t,2020-04-14 20:58:21.392,1,866900000,12,15,901,4/5,125000,2,1,111118,ZsxG
173,NTYsMTAw,10,-82.1,35099,t,2020-04-14 20:58:22.056,1,866900000,12,15,901,4/5,125000,0,1,111119,UaIp
174,NTUsMTAw,11.26,-96.8,35099,t,2020-04-14 20:58:25.358,1,866900000,12,15,901,4/5,125000,0,1,111113,m74Y
175,NTksMTAw,11.47,-105.5,35099,t,2020-04-14 20:58:26.217,1,866900000,12,15,901,4/5,125000,1,1,111115,m74Y
176,MTQ4LDEwMA==,10.21,-105.1,34968,t,2020-04-14 20:58:26.637,1,866900000,12,15,1032,4/5,125000,0,1,111117,FwLH
