id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
78,"","[{""sf"":9,""power"":12,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:05.637,866900000,12,15,901,4/5,125000,111114,jfGE
79,"",[],34509,t,f,t,2020-04-14 20:55:06.644,866900000,12,15,901,4/5,125000,111115,jfGE
80,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:06.739,866900000,12,15,901,4/5,125000,111112,dGjc
81,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:11.623,866900000,12,15,901,4/5,125000,111116,dGjc
82,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:12.423,866900000,12,15,901,4/5,125000,111115,dGjc
83,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:16.741,866900000,12,15,901,4/5,125000,111119,dGjc
84,"",[],34509,t,f,t,2020-04-14 20:55:17.223,866900000,12,15,901,4/5,125000,111114,EFFr
85,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:55:19.795,866900000,12,15,1032,4/5,125000,111113,0Rl6
86,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:55:22.598,866900000,12,15,1032,4/5,125000,111118,0Rl6
87,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:23.114,866900000,12,15,901,4/5,125000,111117,KsGK
88,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:26.827,866900000,12,15,901,4/5,125000,111111,hVBI
89,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:27.383,866900000,12,15,901,4/5,125000,111112,hVBI
90,"",[],34509,t,f,t,2020-04-14 20:55:28.326,866900000,12,15,901,4/5,125000,111117,q4jB
91,"",[],34509,t,f,t,2020-04-14 20:55:32.739,866900000,12,15,901,4/5,125000,111117,t1Az
