id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
122,MTA2LDEwMA==,6.6,-46.2,35954,t,2020-04-13 12:54:55.31,866100000,7,13,46,4/5,125000,0,1,444444,OGsj
123,NzIsMTAw,10.35,-78.2,35960,t,2020-04-13 12:54:56.389,866100000,7,11,40,4/5,125000,1,1,111111,5ITv
124,MTMzLDEwMA==,11.44,-39.3,35853,t,2020-04-13 12:54:56.765,866100000,9,15,147,4/5,125000,0,1,333333,Jppo
125,OTIsMTAw,7.77,-38.4,35960,t,2020-04-13 12:54:59.96,866100000,7,13,40,4/5,125000,0,1,555555,Gjr8
126,ODYsMTAw,8.25,-60.5,35960,t,2020-04-13 12:55:05.316,866100000,7,13,40,4/5,125000,0,1,444444,kMoR
127,ODYsMTAw,9.06,-84.3,35960,t,2020-04-13 12:55:06.403,866100000,7,11,40,4/5,125000,0,1,111111,asxM
128,MTM5LDEwMA==,11.47,-93.1,35853,t,2020-04-13 12:55:06.77,866100000,9,15,147,4/5,125000,0,1,333333,2D0K
129,ODQsMTAw,6.87,-81.9,35960,t,2020-04-13 12:55:09.955,866100000,7,13,40,4/5,125000,0,1,555555,3i91
130,MTMzLDEwMA==,9.33,-62.1,35954,t,2020-04-13 12:55:10.143,866100000,7,13,46,4/5,125000,0,1,666666,KjD4
131,OTgsMTAw,9.73,-57.2,35960,t,2020-04-13 12:55:15.316,866100000,7,13,40,4/5,125000,0,1,444444,M0j6
132,NzgsMTAw,6.74,-109.1,35960,t,2020-04-13 12:55:16.416,866100000,7,11,40,4/5,125000,0,1,111111,E1yh
133,NjUsMTAw,7.36,-57.7,35872,t,2020-04-13 12:55:16.791,866100000,9,15,128,4/5,125000,0,1,333333,6jNa
134,MTA2LDEwMA==,10.56,-68.4,35954,t,2020-04-13 12:55:19.976,866100000,7,13,46,4/5,125000,0,1,555555,KxJQ
135,MTQ3LDEwMA==,11.06,-36.8,35954,t,2020-04-13 12:55:20.145,866900000,7,14,46,4/5,125000,0,1,666666,xExX
136,MTA0LDEwMA==,9.93,-98.7,35954,t,2020-04-13 12:55:25.404,866100000,7,13,46,4/5,125000,0,1,444444,cbun
137,ODYsMTAw,10.4,-72.8,35960,t,2020-04-13 12:55:26.43,866100000,7,11,40,4/5,125000,0,1,111111,ulC7
138,MTA4LDEwMA==,10.56,-96.7,35853,t,2020-04-13 12:55:26.787,866100000,9,15,147,4/5,125000,0,1,333333,VX2U
139,MTM2LDEwMA==,6.61,-77,35954,t,2020-04-13 12:55:29.963,866100000,7,13,46,4/5,125000,0,1,555555,DE3i
140,MTUwLDEwMA==,9.26,-66.2,35954,t,2020-04-13 12:55:30.78,866900000,7,14,46,4/5,125000,0,1,666666,Uass
141,MTQ5LDEwMA==,8.69,-48.1,35954,t,2020-04-13 12:55:31.671,866900000,7,14,46,4/5,125000,0,1,222222,2Aqj
142,MTI0LDEwMA==,8.73,-50.3,35954,t,2020-04-13 12:55:35.353,866100000,7,13,46,4/5,125000,0,1,444444,YO7G
143,NzcsMTAw,8.56,-39.1,35960,t,2020-04-13 12:55:36.441,866100000,7,11,40,4/5,125000,0,1,111111,3oeg
144,MTE2LDEwMA==,7.26,-38.3,35853,t,2020-04-13 12:55:36.807,866100000,9,15,147,4/5,125000,0,1,333333,gQb4
145,MTM5LDEwMA==,9.1,-42.4,35954,t,2020-04-13 12:55:38.738,866100000,7,13,46,4/5,125000,0,1,888888,3rKQ
146,NTcsMTAw,10.51,-48.1,35960,t,2020-04-13 12:55:39.974,866900000,7,14,40,4/5,125000,0,1,555555,Pg5x
147,MTI1LDEwMA==,7.35,-109.9,35954,t,2020-04-13 12:55:41.382,866100000,7,9,46,4/5,125000,0,1,666666,wNcS
148,NTUsMTAw,10.43,-113.9,35960,t,2020-04-13 12:55:45.103,866900000,7,14,40,4/5,125000,0,1,777777,Vt5i
149,NjEsMTAw,8.71,-69,35960,t,2020-04-13 12:55:45.342,866100000,7,13,40,4/5,125000,0,1,444444,M9Wl
150,MTMxLDEwMA==,6.82,-57.7,35954,t,2020-04-13 12:55:46.445,866100000,7,11,46,4/5,125000,0,1,111111,H5Pp
