id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,ap_id,node_id
1656,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:33.431,333333,EiGg
1657,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:34.847,000000,BYTb
1658,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:40.357,777777,dfyA
1659,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:15:48.181,222222,wu8X
1660,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:49.415,555555,Xq78
1661,"",[],3207,t,f,t,2020-04-11 00:15:50.939,777777,ozBN
1662,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:15:55.619,000000,mtIy
1663,"",[],3207,t,f,t,2020-04-11 00:16:04.932,111111,bo6k
1664,"","[{""sf"":9,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:16:06.316,000000,MiDj
1665,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:16:20.204,555555,Z3br
1666,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:16:23.39,666666,hctJ
1667,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:16:30.954,444444,NDPf
1668,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:16:35.678,111111,QOVK
1669,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:16:41.801,444444,DRgv
1670,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:16:43.544,999999,Gjr8
4035,"",[],2489,t,f,t,2020-04-11 04:36:38.662,111111,VzWt
1671,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:16:44.121,333333,f0jO
1672,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:17:04.028,666666,cScy
1673,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:17:14.623,666666,Z8OM
1674,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:17:25.013,333333,ymA4
1675,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:17:41.807,777777,rPci
1676,"",[],3207,t,f,t,2020-04-11 00:17:57.139,000000,ZLiV
1677,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:18:05.256,666666,jB8s
1678,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:18:08.962,222222,4mWH
1679,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:18:25.958,666666,COGd
1680,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:18:30.975,555555,SfsH
1681,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:18:32.622,777777,bCZg
1682,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:18:37.263,111111,WM2l
1683,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:18:40.796,222222,2SLw
1684,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:19:06.7,666666,Tfmf
1685,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:19:08.417,000000,7HhY
